Source,Translation
Elfie,爱尔菲
Will Serfort,威尔·赛尔佛特
Lihanna,莉亚娜
book-learner,书呆子
no-talent,无能者
Workner,瓦克纳
Eliza,伊丽莎
Rosty,罗斯提
Edward,爱德沃
Colette,珂蕾特
Headmistress Caldron,珂德伦学院长
Naberous,纳贝鲁斯
the tower,塔
Sion,席翁
Wignall,伊格诺尔
elf,妖精
the Magia Vander,至高五杖
Albis Vina,冰姬之杖
Lady Elfaria,爱尔法利亚大人
Idleness Incarnate,怠惰的化身
recluse,家里蹲
Ellenor,艾尔诺
the magic competition,魔法对决
Barbarian,野蛮人
brazen harridans,泼妇们
Terminalia,境界祭
Ed,爱德
the Wand Graveyard,杖的墓地
Julius,尤里乌斯
Clairie,克蕾露薇
The Great Light Sovereign,光皇
Lord Aaron,亚隆大人
Lord Cariot,卡里奥特大人
"My bro, Zeo",泽奥大哥
Huzzah for Lady Ellenor,艾尔诺大人万岁
Flame Crown,炎之王冠
Water Orb,水之宝珠
Lightning Throne,雷之玉座
Wind Scepter,风之权杖
I offer the Earth Altar,献上大地之祭坛
"Open, o primordial darkness",辟开原初之黑暗
Supreme Spell,大术式
Vendes Terminalia,隔绝乐园的五杖之大境界
Mercedes,梅尔赛德斯
Rigarden,利加甸
Dinoboroses,迪诺波罗斯
high mages of the tower,塔的高级魔导士
meges,魔导士
monsters,魔物
mage slayer,魔导士杀手
Great Barrier,大结界
the Celestial Host,天上的侵略者
the Sleime,狩魔剑
Grand Duke,邪灵公爵
Devander,迪文德
the traces from the monsters,魔素
Wistoria,魔剑谭
One Single Magic Spell,独一无二的魔法
The laggard,吊车尾
the lightning faction,雷之派阁
Wistoria: Wand and Sword,杖与剑的魔剑谭
The Gate of Pruning,剪定之门
1st Floor,第一阶节
The Pruning Ceremonial Hall,剪定会场
Faction,派系
Irvin Aurus,亚维恩·奥鲁斯
Sarissa Alfeld,萨莉莎·阿费尔德
Julius Reinberg,尤里乌斯·连恩伯格
Lihanna Owenzaus,莉亚娜·欧文沙斯
Colette Loire,柯蕾特·罗瓦尔
Kiki,奇奇
Elfaria Albis Serfort,爱尔法利亚·亚尔维斯·赛尔佛特
Filvis Challia,菲儿葳丝·夏利亚
Lefiya Viridis,蕾菲亚·维里迪斯
Logwell,罗格韦尔
Zoctonia,札克托尼亚
Guilford Zurgas,吉尔福德·扎格斯
Donnan,多南
Glace Itier,苍冰之诗人
Fully Charged,装填完毕
Wis,魔剑
Load,拔剑
Burst,召唤
Glauss Mill,冰车
Clairie Serah,克蕾露薇·塞拉
Incindia Barham,炎帝之杖
Multos,复数属性者
Sion Ulster,席翁·亚尔斯塔
Lightning Lord's Wand,雷公之杖
Zeo Thorzeus Reinbolt,泽奥·托尔宙斯·莱茵波尔多
Kreutz,克洛伊兹
Sacred Elf's Wand,妖圣之杖
Ellenor Ljos Alf,艾尔诺·利欧斯·阿尔弗
wand,杖
Wors Oozes,沃斯黏液怪
Crysto Wreath,青流之从者
low-level spells,下位魔法
Balkar,巴尔卡尔
high mages,上级魔导士
the fifth element,第五源素
lab animal,小白鼠
Bloom,开祭
Grim Generation,残酷世代
Emma Klever,艾玛·克莱弗
the dungeon,地下城
the Upper Institute,上院
Fields of Solitude,孤独的草原
Glauss Wis,苍冰之魔剑
Fridde Gardinas,冰啭之护人
Colorless Garden,无色之庭
